country,n2011,p2011,n2012,p2012,n2013,p2013,n2014,p2014,n2015,p2015,n2016,p2016
Australia,7,0.037,21,0.0551,19,0.0503,19,0.0501,20,0.0519,22,0.0558
Austria,2,0.0106,5,0.0131,5,0.0132,6,0.0158,5,0.013,5,0.0127
Belgium,2,0.0106,7,0.0184,7,0.0185,7,0.0185,7,0.0182,7,0.0178
Brazil,0,0,2,0.0052,2,0.0053,2,0.0053,2,0.0052,2,0.0051
Canada,6,0.0317,17,0.0446,18,0.0476,18,0.0475,18,0.0468,18,0.0457
Chile,0,0,1,0.0026,0,0,0,0,1,0.0026,0,0
China,6,0.0317,10,0.0262,9,0.0238,10,0.0264,11,0.0286,8,0.0203
Colombia,0,0,0,0,1,0.0026,1,0.0026,1,0.0026,0,0
Czech Republic,0,0,1,0.0026,1,0.0026,1,0.0026,1,0.0026,1,0.0025
Denmark,3,0.0159,5,0.0131,5,0.0132,5,0.0132,5,0.013,6,0.0152
Egpyt,1,0.0053,1,0.0026,0,0,0,0,0,0,0,0
Estonia,0,0,1,0.0026,1,0.0026,1,0.0026,0,0,1,0.0025
Finland,1,0.0053,5,0.0131,5,0.0132,4,0.0106,6,0.0156,6,0.0152
France,4,0.0212,8,0.021,11,0.0291,11,0.029,11,0.0286,15,0.0381
Germany,13,0.0688,21,0.0551,25,0.0661,24,0.0633,27,0.0701,34,0.0863
Greece,0,0,1,0.0026,1,0.0026,1,0.0026,1,0.0026,1,0.0025
Hong Kong,4,0.0212,6,0.0157,6,0.0159,6,0.0158,6,0.0156,6,0.0152
Iceland,0,0,1,0.0026,1,0.0026,1,0.0026,1,0.0026,1,0.0025
India,0,0,1,0.0026,3,0.0079,3,0.0079,4,0.0104,2,0.0051
Iran,0,0,1,0.0026,1,0.0026,1,0.0026,2,0.0052,0,0
Israel,0,0,4,0.0105,3,0.0079,3,0.0079,3,0.0078,3,0.0076
Italy,0,0,14,0.0367,14,0.037,15,0.0396,17,0.0442,18,0.0457
Japan,5,0.0265,16,0.042,13,0.0344,11,0.029,12,0.0312,6,0.0152
Netherlands,10,0.0529,13,0.0341,13,0.0344,13,0.0343,13,0.0338,13,0.033
New Zealand,1,0.0053,5,0.0131,6,0.0159,5,0.0132,5,0.013,3,0.0076
Norway,1,0.0053,4,0.0105,4,0.0106,4,0.0106,4,0.0104,4,0.0102
Poland,0,0,1,0.0026,2,0.0053,1,0.0026,1,0.0026,0,0
Portugal,0,0,4,0.0105,3,0.0079,2,0.0053,2,0.0052,1,0.0025
Republic of Ireland,2,0.0106,5,0.0131,5,0.0132,5,0.0132,5,0.013,6,0.0152
Russian Federation,0,0,2,0.0052,2,0.0053,1,0.0026,2,0.0052,5,0.0127
Saudi Arabia,0,0,0,0,1,0.0026,2,0.0053,0,0,1,0.0025
Singapore,2,0.0106,2,0.0052,2,0.0053,2,0.0053,2,0.0052,2,0.0051
South Africa,1,0.0053,3,0.0079,4,0.0106,3,0.0079,3,0.0078,3,0.0076
South Korea,4,0.0212,7,0.0184,6,0.0159,7,0.0185,9,0.0234,8,0.0203
Spain,2,0.0106,8,0.021,7,0.0185,9,0.0237,6,0.0156,5,0.0127
Sweden,5,0.0265,10,0.0262,10,0.0265,9,0.0237,9,0.0234,11,0.0279
Switzerland,6,0.0317,7,0.0184,7,0.0185,8,0.0211,8,0.0208,9,0.0228
Taiwan,4,0.0212,8,0.021,7,0.0185,8,0.0211,6,0.0156,4,0.0102
Thailand,0,0,1,0.0026,1,0.0026,1,0.0026,1,0.0026,0,0
Turkey,1,0.0053,3,0.0079,4,0.0106,4,0.0106,5,0.013,2,0.0051
United Kingdom,27,0.1429,49,0.1286,46,0.1217,47,0.124,42,0.1091,44,0.1117
United States of America,69,0.3651,100,0.2625,96,0.254,98,0.2586,99,0.2571,109,0.2766